Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_2012Metric",-32.543750,38.100000,45.000000,bottom
"C2","22p","C_0805_2012Metric",-32.543750,41.946751,-45.000000,bottom
"C3","1uf","C_0805_2012Metric",-20.024624,47.561676,90.000000,bottom
"C4","10uF","C_0805_2012Metric",-42.863855,56.260984,0.000000,bottom
"C5","0.1uf","C_0805_2012Metric",-24.670031,34.564072,-45.000000,bottom
"C6","0.1uf","C_0805_2012Metric",-26.159125,44.160628,0.000000,bottom
"C7","0.1uf","C_0805_2012Metric",-13.931007,36.905039,90.000000,bottom
"C8","0.1uf","C_0805_2012Metric",-12.809224,43.400942,180.000000,bottom
"C9","4.7uF","C_0805_2012Metric",-44.613830,73.005000,90.000000,bottom
"C10","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-115.093750,57.150000,180.000000,bottom
"D_SPACE1","D","D_SOD-123",-12.627344,65.881250,90.000000,bottom
"D_SPACE2","D","D_SOD-123",-31.676797,65.881250,90.000000,bottom
"D_SPACE3","D","D_SOD-123",-50.726250,65.881250,90.000000,bottom
"D_SPACE4","D","D_SOD-123",-69.775703,65.881250,90.000000,bottom
"D_SPACE5","D","D_SOD-123",-88.825156,65.881250,90.000000,bottom
"D_SPACE6","D","D_SOD-123",-107.874609,65.881250,90.000000,bottom
"D_SPACE7","D","D_SOD-123",-126.924062,65.881250,90.000000,bottom
"D_SPACE8","D","D_SOD-123",-145.973515,65.881250,90.000000,bottom
"D_SPACE9","D","D_SOD-123",-165.022968,65.881250,90.000000,bottom
"D_SPACE10","D","D_SOD-123",-184.072421,65.881250,90.000000,bottom
"D_SPACE11","D","D_SOD-123",-203.121881,65.881250,90.000000,bottom
"D_SPACE12","D","D_SOD-123",-12.627344,46.831250,90.000000,bottom
"D_SPACE13","D","D_SOD-123",-31.676797,46.831250,90.000000,bottom
"D_SPACE14","D","D_SOD-123",-50.726250,46.831250,90.000000,bottom
"D_SPACE15","D","D_SOD-123",-69.775703,46.831250,90.000000,bottom
"D_SPACE16","D","D_SOD-123",-88.868752,46.831250,90.000000,bottom
"D_SPACE17","D","D_SOD-123",-107.910940,46.831250,90.000000,bottom
